brand,model,category,size,storage,color,price,source,webpage,condition,date,article_number,reviews_count,rating,camera_MP,delivery_time
XIAOMI,Redmi Note 13 Pro 4G ,Smartphone,6.67,256 GB,Forest Green,296.95,mediamarkt,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-note-13-pro-4g-2220895.html,new,2024-04-15,2220895,(1),5.0,200 MP,Auslieferung in bis zu 7 Werktagen
SAMSUNG,Galaxy S23+ ,Smartphone,6.6,256 GB,Green,699.,mediamarkt,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-2167371.html,new,2024-04-15,2167371,,4.6,50 MP,"Bestellbar, Auslieferung in 1-2 Werktagen"
APPLE,iPhone 15 Pro ,Smartphone,6.1,512 GB,White Titanium,1253.,mediamarkt,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-2203414.html,new,2024-04-15,2203414,(0),,48 MP,Aktuell nicht lieferbar und kein Liefertermin vorhanden. Alle Angaben ohne Gewähr.
APPLE,iPhone 15 Pro ,Smartphone,6.1,1 TB,Black Titanium,1459.,mediamarkt,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-2203418.html,new,2024-04-15,2203418,(1),5.0,48 MP,Aktuell nicht lieferbar und kein Liefertermin vorhanden. Alle Angaben ohne Gewähr.
APPLE,iPhone 15 Plus ,Smartphone,6.7,256 GB,Pink,948.,mediamarkt,https://www.mediamarkt.ch/de/product/_apple-iphone-15-plus-2203394.html,new,2024-04-15,2203394,(2),5.0,48 MP,"Wir bestellen für Sie den Artikel direkt beim Lieferanten. Sobald der Artikel verfügbar ist, werden Sie per E-Mail informiert."
APPLE,iPhone 13 ,Smartphone,6.1,128 GB,"128 GB, (PRODUCT)RED",525.,mediamarkt,https://www.mediamarkt.ch/de/product/_apple-iphone-13-2091436.html,new,2024-04-15,2091436,(5),4.8,12 MP,Auslieferung in bis zu 7 Werktagen
APPLE,iPhone 15 Plus ,Smartphone,6.7,256 GB,Yellow,949.,mediamarkt,https://www.mediamarkt.ch/de/product/_apple-iphone-15-plus-2203395.html,new,2024-04-15,2203395,(0),,48 MP,Auslieferung in 1-4 Werktagen
SAMSUNG,Galaxy S23 ,Smartphone,6.1,256 GB,Lavender,699.,mediamarkt,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-2167363.html,new,2024-04-15,2167363,(273),4.4,50 MP,Auslieferung in bis zu 6 Werktagen
SAMSUNG,Galaxy S24+ ,Smartphone,6.7,512 GB,Onyx Black,1149.,mediamarkt,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-2220715.html,new,2024-04-15,2220715,(211),4.5,50 MP,Auslieferung in bis zu 6 Werktagen
SAMSUNG,Galaxy S24 Ultra ,Smartphone,6.8,256 GB,Titanium Violet,1179.,mediamarkt,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-ultra-2220739.html,new,2024-04-15,2220739,(888),4.7,200 MP,Auslieferung in 1-2 Werktagen
SAMSUNG,Galaxy S23 Ultra ,Smartphone,6.8,256 GB,Phantom Black,847.,mediamarkt,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-ultra-2167385.html,new,2024-04-15,2167385,(607),4.6,200 MP,Das Produkt ist online ausverkauft.
SAMSUNG,Galaxy S24 Ultra ,Smartphone,6.8,256 GB,Titanium Grey,1179.,mediamarkt,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-ultra-2220738.html,new,2024-04-15,2220738,(888),4.7,200 MP,"Bestellbar, Auslieferung in 1-2 Werktagen"
SAMSUNG,Galaxy A35 5G ,Smartphone,6.6,256 GB,Awesome Lemon,419.95,mediamarkt,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a35-5g-2242305.html,new,2024-04-15,2242305,(1),5.0,50 MP,Auslieferung in bis zu 10 Werktagen
SAMSUNG,Galaxy S23 Ultra ,Smartphone,6.8,256 GB,Cream,867.,mediamarkt,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-ultra-2167380.html,new,2024-04-15,2167380,,4.6,200 MP,Das Produkt ist online ausverkauft.
SAMSUNG,Galaxy A35 5G ,Smartphone,6.6,256 GB,Awesome Navy,412.95,mediamarkt,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a35-5g-2242341.html,new,2024-04-15,2242341,(0),,50 MP,Auslieferung in bis zu 10 Werktagen
SAMSUNG,Galaxy A35 5G ,Smartphone,6.6,256 GB,Awesome Lilac,389.95,mediamarkt,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a35-5g-2242333.html,new,2024-04-15,2242333,(0),,50 MP,Auslieferung in bis zu 10 Werktagen
XIAOMI,Redmi Note 13 4G ,Smartphone,6.67,256 GB,Midnight Black,222.95,mediamarkt,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-note-13-4g-2220888.html,new,2024-04-15,2220888,(0),,108 MP,Auslieferung in bis zu 6 Werktagen
XIAOMI,Redmi 13C ,Smartphone,6.74,256 GB,Midnight Black,152.95,mediamarkt,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-13c-2219846.html,new,2024-04-15,2219846,(0),,50 MP,Auslieferung in 1-2 Werktagen
SAMSUNG,Galaxy A54 5G ,Smartphone,6.4,128 GB,Awesome Violet,347.95,mediamarkt,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a54-5g-2173982.html,new,2024-04-15,2173982,(319),4.4,50 MP,Auslieferung in 1-4 Werktagen
FAIRPHONE,5 5G ,Smartphone,6.46,256 GB,Transparent Edition,606.,mediamarkt,https://www.mediamarkt.ch/de/product/_fairphone-5-5g-2195008.html,new,2024-04-15,2195008,(4),4.8,50 MP,Auslieferung in 1-2 Werktagen
EMPORIA,TOUCHsmart.2 ,Smartphone,,,EMPORIA TOUCHsmart.2 - Smartphone (Schwarz/Silber,114.95,mediamarkt,https://www.mediamarkt.ch/de/product/_emporia-touchsmart-2-2110132.html,new,2024-04-15,2110132,(8),2.5,8 MP,Auslieferung in 1-2 Werktagen
APPLE,iPhone 14 Plus ,Smartphone,6.7,256 GB,Purple,829.,mediamarkt,https://www.mediamarkt.ch/de/product/_apple-iphone-14-plus-2151047.html,new,2024-04-15,2151047,(2),5.0,12 MP,"Wir bestellen für Sie den Artikel direkt beim Lieferanten. Sobald der Artikel verfügbar ist, werden Sie per E-Mail informiert."
APPLE,iPhone 15 Pro Max ,Smartphone,6.7,1 TB,White Titanium,1582.,mediamarkt,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-max-2203439.html,new,2024-04-15,2203439,(2),5.0,48 MP,Aktuell nicht lieferbar und kein Liefertermin vorhanden. Alle Angaben ohne Gewähr.
SAMSUNG,Galaxy XCover 5 Enterprise Edition ,Smartphone,5.3,64 GB,Schwarz,206.,mediamarkt,https://www.mediamarkt.ch/de/product/_samsung-galaxy-xcover-5-enterprise-edition-2060202.html,new,2024-04-15,2060202,(18),3.3,16 MP,Auslieferung in 1-2 Werktagen
APPLE,iPhone 14 Plus ,Smartphone,6.7,512 GB,Midnight,1026.,mediamarkt,https://www.mediamarkt.ch/de/product/_apple-iphone-14-plus-2151050.html,new,2024-04-15,2151050,(3),3.7,12 MP,Aktuell nicht lieferbar und kein Liefertermin vorhanden. Alle Angaben ohne Gewähr.
RUGGEAR,RG360 ,Smartphone,,8 GB,Schwarz,121.95,mediamarkt,https://www.mediamarkt.ch/de/product/_ruggear-rg360-2053578.html,new,2024-04-15,2053578,(0),,2 MP,Auslieferung in bis zu 7 Werktagen
APPLE,iPhone 14 ,Smartphone,6.1,256 GB,Purple,729.,mediamarkt,https://www.mediamarkt.ch/de/product/_apple-iphone-14-2151032.html,new,2024-04-15,2151032,(5),5.0,12 MP,"Bestellbar, Auslieferung in 1-2 Werktagen"
