brand,model,size,storage,color,rating,reviews_count,delivery_time,price,webpage,source,camera_MP,date
apple,iphone 15 plus,6.7,128 GB,black,3.3,4,,849.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-plus-2203388.html,mediamarkt,48.0,2024-04-15
apple,iphone 15 pro max,6.7,512 GB,natural titanium,5.0,6,2.0,1349.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-max-2203433.html,mediamarkt,48.0,2024-04-15
samsung,galaxy s23,6.1,256 GB,green,4.4,274,2.0,691.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-2167361.html,mediamarkt,50.0,2024-04-15
nothing,phone (2a),6.7,256 GB,black,5.0,1,,379.95,https://www.mediamarkt.ch/de/product/_nothing-phone-2a-2223927.html,mediamarkt,50.0,2024-04-15
apple,iphone 15 pro max,6.7,512 GB,white titanium,0.0,0,,1349.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-max-2203432.html,mediamarkt,48.0,2024-04-15
samsung,galaxy a15 4g,6.5,128 GB,yellow,0.0,0,2.0,169.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a15-4g-2221379.html,mediamarkt,50.0,2024-04-15
nothing,phone (2a),6.7,256 GB,white,5.0,1,,378.95,https://www.mediamarkt.ch/de/product/_nothing-phone-2a-2223929.html,mediamarkt,50.0,2024-04-15
nothing,phone (2),6.7,256 GB,gray,4.3,3,6.0,549.0,https://www.mediamarkt.ch/de/product/_nothing-phone-2-2189932.html,mediamarkt,50.0,2024-04-15
samsung,galaxy a55 5g,6.6,128 GB,awesome lilac,0.0,0,2.0,429.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a55-5g-2237051.html,mediamarkt,50.0,2024-04-15
samsung,galaxy z flip5,6.7,512 GB,cream,4.6,56,2.0,1118.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-z-flip5-2193033.html,mediamarkt,12.0,2024-04-15
samsung,galaxy a54 5g,6.4,128 GB,awesome graphite,4.4,326,2.0,347.95,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a54-5g-2173981.html,mediamarkt,50.0,2024-04-15
apple,iphone 14 plus,6.7,256 GB,starlight,5.0,0,7.0,829.0,https://www.mediamarkt.ch/de/product/_apple-iphone-14-plus-2151046.html,mediamarkt,12.0,2024-04-15
apple,iphone 14,6.1,256 GB,midnight,5.0,5,2.0,726.0,https://www.mediamarkt.ch/de/product/_apple-iphone-14-2151030.html,mediamarkt,12.0,2024-04-15
xiaomi,redmi note 13 pro+ 5g,6.67,256 GB,midnight black,0.0,0,7.0,381.95,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-note-13-pro-5g-2220882.html,mediamarkt,200.0,2024-04-15
xiaomi,redmi note 13 5g,6.67,256 GB,arctic white,5.0,1,7.0,263.95,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-note-13-5g-2220893.html,mediamarkt,108.0,2024-04-15
apple,iphone 15 pro,6.1,512 GB,blue titanium,4.8,4,,1242.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-2203417.html,mediamarkt,48.0,2024-04-15
samsung,galaxy s24 ultra,6.8,512 GB,titanium violet,4.7,881,,1399.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-ultra-2220735.html,mediamarkt,200.0,2024-04-15
samsung,galaxy s24 ultra,6.8,512 GB,titanium grey,4.7,881,,1399.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-ultra-2220734.html,mediamarkt,200.0,2024-04-15
samsung,galaxy a55 5g,6.6,256 GB,awesome lemon,0.0,0,6.0,479.95,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a55-5g-2237094.html,mediamarkt,50.0,2024-04-15
samsung,galaxy a55 5g,6.6,128 GB,awesome iceblue,0.0,0,10.0,429.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a55-5g-2237049.html,mediamarkt,50.0,2024-04-15
xiaomi,redmi 9a,6.53,32 GB,granite grey,4.2,17,2.0,79.95,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-9a-2012628.html,mediamarkt,13.0,2024-04-15
xiaomi,redmi 13c,6.74,128 GB,clover green,4.0,1,7.0,133.95,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-13c-2219844.html,mediamarkt,50.0,2024-04-15
samsung,galaxy a25 5g,6.5,128 GB,blue black,4.7,6,2.0,269.95,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a25-5g-2216505.html,mediamarkt,50.0,2024-04-15
